Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,DeKalb,Multiracial,Low,Parkinson's Disease,0.0
OASIS,DeKalb,Multiracial,Low,Legal Intervention,0.0
OASIS,DeKalb,Multiracial,Low,Leukemia,0.0
OASIS,DeKalb,Multiracial,Low,Liver Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Lung Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Multiracial,Low,Motor Vehicle Crashes (MVC),0.0
OASIS,DeKalb,Multiracial,Low,Neural Tube Defects,0.0
OASIS,DeKalb,Multiracial,Low,Obstructive Heart Disease (incl. Heart Attack),0.0
OASIS,DeKalb,Multiracial,Low,Oral Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Ovarian Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Multiracial,Average,Liver Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Lung Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Multiracial,Average,Motor Vehicle Crashes (MVC),0.0
OASIS,DeKalb,Multiracial,Average,Neural Tube Defects,0.0
OASIS,DeKalb,Multiracial,Average,Oral Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Ovarian Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Pancreatic Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Parkinson's Disease,0.0
OASIS,DeKalb,Multiracial,High,Motor Vehicle Crashes (MVC),0.0
OASIS,DeKalb,Multiracial,Average,Poisoning,0.0
OASIS,DeKalb,Multiracial,Average,Prematurity,0.0
OASIS,DeKalb,Multiracial,Average,Prostate Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Multiracial,Average,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Multiracial,Average,Sickle Cell Anemia,0.0
OASIS,DeKalb,Multiracial,Average,Skin Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Stomach Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Stroke,0.0
OASIS,DeKalb,Multiracial,Average,Suffocation,0.0
OASIS,DeKalb,Multiracial,Average,Pneumonia,0.0
OASIS,DeKalb,Multiracial,Average,Breast Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Bronchitis,0.0
OASIS,DeKalb,Multiracial,Average,Cervical Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Colon Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Disorders Related to Drug Use,0.0
OASIS,DeKalb,Multiracial,Average,Drowning,0.0
OASIS,DeKalb,Multiracial,Average,Emphysema,0.0
OASIS,DeKalb,Multiracial,Average,Falls,0.0
OASIS,DeKalb,Multiracial,Average,Fire and Smoke Exposure,0.0
OASIS,DeKalb,Multiracial,Average,Leukemia,0.0
OASIS,DeKalb,Multiracial,Average,Hardening of the Arteries,0.0
OASIS,DeKalb,Multiracial,Average,High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Multiracial,Average,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Multiracial,Average,Hypertensive Heart and Chronic Kidney Disease,0.0
