Source,Geography,Race,SES Vulnerability,Cause,Deaths
NCHS,Fulton,Multiracial,Very Low,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Black or African-American,High,Flu,0.0
NCHS,Fulton,Unknown Race,Very High,Neural Tube Defects,0.0
NCHS,Fulton,Unknown Race,Very High,Liver Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Sickle Cell Anemia,0.0
NCHS,Fulton,Unknown Race,Very High,Meningitis,0.0
OASIS,DeKalb,Black or African-American,High,Hardening of the Arteries,0.0
NCHS,Fulton,Unknown Race,Low,TB,0.0
NCHS,Fulton,Multiracial,Very Low,Pneumonia,0.0
NCHS,Fulton,Unknown Race,Low,Testicular Cancer,0.0
NCHS,Fulton,Unknown Race,Low,Throat Cancer,0.0
NCHS,Fulton,Unknown Race,Low,Uterine Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Accidental Shooting,0.0
OASIS,DeKalb,Black or African-American,Low,Birth-Related Infections,0.0
NCHS,Fulton,Unknown Race,Very High,Alcoholic Liver Disease,0.0
NCHS,Fulton,Unknown Race,Very High,Drowning,0.0
NCHS,Fulton,Unknown Race,Very High,All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,Unknown Race,Very High,All other Chronic Lower Respiratory Diseases,0.0
NCHS,Fulton,Unknown Race,Very High,All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,Multiracial,Very Low,Prematurity,0.0
NCHS,Fulton,Unknown Race,Very High,All other Diseases of the Nervous System,0.0
NCHS,Fulton,Unknown Race,Very High,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
NCHS,Fulton,Unknown Race,Very High,All other Mental and Behavioral Disorders,0.0
NCHS,Fulton,Unknown Race,Very High,All other Other Diseases of Circulatory System,0.0
NCHS,Fulton,Unknown Race,Very High,Alzheimer's Disease,0.0
NCHS,Fulton,Unknown Race,Very High,All Other Unintentional Injury,0.0
NCHS,Fulton,Unknown Race,Low,Ovarian Cancer,0.0
NCHS,Fulton,Unknown Race,Low,Parkinson's Disease,0.0
NCHS,Fulton,Unknown Race,Low,Pneumonia,0.0
NCHS,Fulton,Unknown Race,Low,Poisoning,0.0
NCHS,Fulton,Unknown Race,Low,Prematurity,0.0
NCHS,Fulton,Unknown Race,Low,Prostate Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Pancreatic Cancer,0.0
OASIS,DeKalb,Black or African-American,Low,Hardening of the Arteries,0.0
OASIS,DeKalb,Black or African-American,Low,Flu,0.0
OASIS,DeKalb,Black or African-American,Low,Bronchitis,0.0
NCHS,Fulton,Unknown Race,Low,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Black or African-American,Low,Emphysema,0.0
NCHS,Fulton,Unknown Race,Low,Rheumatic Fever and Heart Diseases,0.0
NCHS,Fulton,Unknown Race,Low,Sickle Cell Anemia,0.0
NCHS,Fulton,Unknown Race,Low,Skin Cancer,0.0
NCHS,Fulton,Unknown Race,Low,Stomach Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Parkinson's Disease,0.0
NCHS,Fulton,Unknown Race,Low,Stroke,0.0
NCHS,Fulton,Unknown Race,Low,Suffocation,0.0
OASIS,DeKalb,Black or African-American,Low,Fire and Smoke Exposure,0.0
NCHS,Fulton,Unknown Race,Very High,Fire and Smoke Exposure,0.0
NCHS,Fulton,Unknown Race,Very High,Flu,0.0
NCHS,Fulton,Unknown Race,Very High,HIV/AIDS,0.0
NCHS,Fulton,Unknown Race,Very High,Hardening of the Arteries,0.0
NCHS,Fulton,Unknown Race,Very High,High Blood Pressure (Hypertension),0.0
NCHS,Fulton,Unknown Race,Very High,Hypertensive Heart Disease,0.0
NCHS,Fulton,Unknown Race,Very High,Hypertensive Heart and Chronic Kidney Disease,0.0
NCHS,Fulton,Unknown Race,Very High,Intentional Self-Harm (Suicide),0.0
NCHS,Fulton,Unknown Race,Very High,Kidney Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Aortic Aneurysm and Dissection,0.0
NCHS,Fulton,Multiracial,Very Low,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Black or African-American,High,Neural Tube Defects,0.0
OASIS,DeKalb,Black or African-American,High,Lymph Cancer (Hodgkin's Disease),0.0
NCHS,Fulton,Unknown Race,Very High,Kidney Diseases,0.0
NCHS,Fulton,Unknown Race,Very High,Kidney Infections,0.0
NCHS,Fulton,Unknown Race,Very High,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Black or African-American,High,Legal Intervention,0.0
NCHS,Fulton,Unknown Race,Very High,Legal Intervention,0.0
OASIS,DeKalb,Black or African-American,High,Kidney Infections,0.0
OASIS,DeKalb,Black or African-American,High,Oral Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Prostate Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Assault (Homicide),0.0
NCHS,Fulton,Unknown Race,Very High,Asthma,0.0
NCHS,Fulton,Unknown Race,Very High,Birth-Related Infections,0.0
OASIS,DeKalb,Black or African-American,Low,Alcoholic Liver Disease,0.0
NCHS,Fulton,Unknown Race,Very High,Bladder Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Blood Poisoning,0.0
NCHS,Fulton,Unknown Race,Very High,Brain Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Breast Cancer,0.0
OASIS,DeKalb,Black or African-American,High,Prematurity,0.0
NCHS,Fulton,Unknown Race,Very High,Bronchitis,0.0
NCHS,Fulton,Unknown Race,Very High,COVID-19,0.0
NCHS,Fulton,Unknown Race,Very High,Cervical Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Colon Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Diabetes,0.0
OASIS,DeKalb,Black or African-American,High,Skin Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Disorders Related to Drug Use,0.0
NCHS,Fulton,Unknown Race,Very High,Emphysema,0.0
NCHS,Fulton,Unknown Race,Very High,Falls,0.0
OASIS,DeKalb,Black or African-American,High,Testicular Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Aortic Aneurysm and Dissection,0.0
OASIS,DeKalb,Asian,Very Low,All other Other Diseases of Circulatory System,0.0
OASIS,DeKalb,Asian,Very Low,All other Mental and Behavioral Disorders,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,All other Chronic Lower Respiratory Diseases,0.0
OASIS,DeKalb,Asian,Very Low,All other Diseases of the Genitourinary System,0.0
OASIS,DeKalb,Asian,Very Low,All other Chronic Lower Respiratory Diseases,0.0
OASIS,DeKalb,Asian,Very Low,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,DeKalb,Asian,Very Low,All Other Unintentional Injury,0.0
OASIS,DeKalb,Asian,Very Low,Accidental Shooting,0.0
NCHS,Fulton,Unknown Race,Low,Pancreatic Cancer,0.0
OASIS,DeKalb,Asian,Very High,Throat Cancer,0.0
OASIS,DeKalb,Asian,Very High,Testicular Cancer,0.0
NCHS,Fulton,Unknown Race,Very Low,All other Other Diseases of Circulatory System,0.0
OASIS,DeKalb,Asian,Very High,Stomach Cancer,0.0
OASIS,DeKalb,Asian,Very High,Skin Cancer,0.0
OASIS,DeKalb,Asian,Very High,Sickle Cell Anemia,0.0
OASIS,DeKalb,Asian,Very High,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Asian,Very High,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Asian,Very High,Prostate Cancer,0.0
OASIS,DeKalb,Asian,Very High,Uterine Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Kidney Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,All other Diseases of the Genitourinary System,0.0
OASIS,DeKalb,Asian,Very Low,Intentional Self-Harm (Suicide),0.0
OASIS,DeKalb,Asian,Very Low,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,DeKalb,Asian,Very Low,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Asian,Very Low,High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Asian,Very Low,Hardening of the Arteries,0.0
OASIS,DeKalb,Asian,Very Low,Flu,0.0
OASIS,DeKalb,Asian,Very Low,Fire and Smoke Exposure,0.0
OASIS,DeKalb,Asian,Very Low,Assault (Homicide),0.0
OASIS,DeKalb,Asian,Very Low,Drowning,0.0
OASIS,DeKalb,Asian,Very Low,Disorders Related to Drug Use,0.0
NCHS,Fulton,Unknown Race,Very Low,All other Mental and Behavioral Disorders,0.0
OASIS,DeKalb,Asian,Very Low,Cervical Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Bronchitis,0.0
OASIS,DeKalb,Asian,Very Low,Brain Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Bladder Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Birth-Related Infections,0.0
OASIS,DeKalb,Asian,Very Low,Asthma,0.0
OASIS,DeKalb,Asian,Very Low,Emphysema,0.0
OASIS,DeKalb,Asian,Very High,Disorders Related to Drug Use,0.0
NCHS,Fulton,Unknown Race,Very Low,Aortic Aneurysm and Dissection,0.0
OASIS,DeKalb,Asian,Very High,Colon Cancer,0.0
OASIS,DeKalb,Asian,Very High,Cervical Cancer,0.0
OASIS,DeKalb,Asian,Very High,Bronchitis,0.0
OASIS,DeKalb,Asian,Very High,Brain Cancer,0.0
OASIS,DeKalb,Asian,Very High,Bladder Cancer,0.0
OASIS,DeKalb,Asian,Very High,Birth-Related Infections,0.0
OASIS,DeKalb,Asian,Very High,Asthma,0.0
OASIS,DeKalb,Asian,Very High,Prematurity,0.0
OASIS,DeKalb,Asian,Very High,Aortic Aneurysm and Dissection,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Accidental Shooting,0.0
OASIS,DeKalb,Asian,Very High,All other Other Diseases of Circulatory System,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Low,Uterine Cancer,0.0
OASIS,DeKalb,Asian,Very High,All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,Unknown Race,Very Low,Assault (Homicide),0.0
OASIS,DeKalb,Asian,Very High,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,DeKalb,Asian,Very High,All Other Unintentional Injury,0.0
OASIS,DeKalb,Asian,Very High,Accidental Shooting,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Alcoholic Liver Disease,0.0
NCHS,Fulton,Unknown Race,Very Low,Alzheimer's Disease,0.0
OASIS,DeKalb,Asian,Very High,Parkinson's Disease,0.0
OASIS,DeKalb,Asian,Very High,Ovarian Cancer,0.0
OASIS,DeKalb,Asian,Very High,Oral Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,DeKalb,Asian,Very High,Neural Tube Defects,0.0
OASIS,DeKalb,Asian,Very High,Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Asian,Very High,Leukemia,0.0
OASIS,DeKalb,Asian,Very High,Legal Intervention,0.0
OASIS,DeKalb,Asian,Very High,Drowning,0.0
OASIS,DeKalb,Asian,Very High,Kidney Infections,0.0
OASIS,DeKalb,Asian,Very High,Kidney Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,All Other Unintentional Injury,0.0
OASIS,DeKalb,Asian,Very High,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,DeKalb,Asian,Very High,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Asian,Very High,High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Asian,Very High,Hardening of the Arteries,0.0
OASIS,DeKalb,Asian,Very High,Fire and Smoke Exposure,0.0
OASIS,DeKalb,Asian,Very High,Emphysema,0.0
OASIS,DeKalb,Asian,Very High,Lack of Oxygen to the Fetus,0.0
NCHS,Fulton,Unknown Race,Very High,Suffocation,0.0
OASIS,DeKalb,Black or African-American,Average,Throat Cancer,0.0
OASIS,DeKalb,Black or African-American,Average,Testicular Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,TB,0.0
NCHS,Fulton,Unknown Race,Very High,Testicular Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Throat Cancer,0.0
OASIS,DeKalb,Black or African-American,Average,Skin Cancer,0.0
OASIS,DeKalb,Black or African-American,Average,Sickle Cell Anemia,0.0
NCHS,Fulton,Unknown Race,Very High,Uterine Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Lack of Oxygen to the Fetus,0.0
NCHS,Fulton,Unknown Race,Very Low,Alcoholic Liver Disease,0.0
NCHS,Fulton,Multiracial,Very Low,Throat Cancer,0.0
NCHS,Fulton,Unknown Race,Very Low,All Other Unintentional Injury,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Alzheimer's Disease,0.0
OASIS,DeKalb,Black or African-American,Average,Neural Tube Defects,0.0
NCHS,Fulton,Unknown Race,Very Low,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,DeKalb,Black or African-American,Average,Lymph Cancer (Hodgkin's Disease),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Average,Accidental Shooting,0.0
OASIS,DeKalb,Black or African-American,Average,Legal Intervention,0.0
NCHS,Fulton,Unknown Race,Very Low,Accidental Shooting,0.0
NCHS,Fulton,Unknown Race,Very High,Pancreatic Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Parkinson's Disease,0.0
NCHS,Fulton,Unknown Race,Very High,Pneumonia,0.0
OASIS,DeKalb,Black or African-American,High,Bronchitis,0.0
NCHS,Fulton,Multiracial,Very Low,Stomach Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Poisoning,0.0
NCHS,Fulton,Unknown Race,Very High,Prematurity,0.0
OASIS,DeKalb,Black or African-American,High,Birth-Related Infections,0.0
NCHS,Fulton,Unknown Race,Very High,Prostate Cancer,0.0
OASIS,DeKalb,Black or African-American,High,Accidental Shooting,0.0
NCHS,Fulton,Unknown Race,Very High,Rheumatic Fever and Heart Diseases,0.0
NCHS,Fulton,Unknown Race,Very High,Sickle Cell Anemia,0.0
NCHS,Fulton,Unknown Race,Very High,Skin Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Stomach Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Suffocation,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Aortic Aneurysm and Dissection,0.0
NCHS,Fulton,Multiracial,Very Low,TB,0.0
NCHS,Fulton,Unknown Race,Very High,Stroke,0.0
NCHS,Fulton,Multiracial,Very Low,Testicular Cancer,0.0
NCHS,Fulton,Unknown Race,Very High,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
OASIS,DeKalb,Asian,Very Low,Suffocation,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Average,All other Diseases of the Genitourinary System,0.0
OASIS,DeKalb,Asian,Very Low,Stomach Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Skin Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Sickle Cell Anemia,0.0
OASIS,DeKalb,Asian,Very Low,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Asian,Very Low,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Unknown Race,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
OASIS,DeKalb,Black or African-American,Average,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Asian,Very Low,Poisoning,0.0
OASIS,DeKalb,Asian,Very Low,Pneumonia,0.0
OASIS,DeKalb,Asian,Very Low,Ovarian Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Oral Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Neural Tube Defects,0.0
OASIS,DeKalb,Asian,Very Low,Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Asian,Very Low,Lung Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,All other Diseases of the Nervous System,0.0
OASIS,DeKalb,Asian,Very Low,Legal Intervention,0.0
OASIS,DeKalb,Asian,Very Low,Prematurity,0.0
OASIS,DeKalb,Black or African-American,Average,Kidney Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Average,Alcoholic Liver Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Average,All Other Unintentional Injury,0.0
NCHS,Fulton,Unknown Race,Very Low,All other Chronic Lower Respiratory Diseases,0.0
OASIS,DeKalb,Black or African-American,Average,Flu,0.0
OASIS,DeKalb,Black or African-American,Average,Fire and Smoke Exposure,0.0
OASIS,DeKalb,Black or African-American,Average,Falls,0.0
OASIS,DeKalb,Black or African-American,Average,Emphysema,0.0
OASIS,DeKalb,Black or African-American,Average,Drowning,0.0
OASIS,DeKalb,Asian,Very Low,Testicular Cancer,0.0
NCHS,Fulton,Unknown Race,Very Low,All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,Unknown Race,Very Low,All other Diseases of the Nervous System,0.0
OASIS,DeKalb,Black or African-American,Average,Birth-Related Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Average,All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,All other Other Diseases of Circulatory System,0.0
OASIS,DeKalb,Black or African-American,Average,All Other Unintentional Injury,0.0
OASIS,DeKalb,Black or African-American,Average,Accidental Shooting,0.0
OASIS,DeKalb,Asian,Very Low,Uterine Cancer,0.0
OASIS,DeKalb,Asian,Very Low,Throat Cancer,0.0
OASIS,DeKalb,Black or African-American,Average,Disorders Related to Drug Use,0.0
NCHS,Fulton,Multiracial,Very Low,Breast Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Hypertensive Heart and Chronic Kidney Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Intentional Self-Harm (Suicide),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Kidney Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Kidney Diseases,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Kidney Infections,0.0
OASIS,DeKalb,Multiracial,Average,All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Multiracial,Average,All Other Unintentional Injury,0.0
NCHS,Fulton,Multiracial,Very Low,Bronchitis,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Legal Intervention,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Leukemia,0.0
NCHS,Fulton,Unknown Race,High,Emphysema,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Liver Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Lung Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Alcoholic Liver Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Multiracial,Average,Accidental Shooting,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Meningitis,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Motor Vehicle Crashes (MVC),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Neural Tube Defects,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Obstructive Heart Disease (incl. Heart Attack),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Oral Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Cervical Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Colon Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Ovarian Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,COVID-19,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Assault (Homicide),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Asthma,0.0
NCHS,Fulton,Multiracial,Very Low,Birth-Related Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Birth-Related Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Bladder Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Blood Poisoning,0.0
NCHS,Fulton,Multiracial,Very Low,Bladder Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Brain Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Breast Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Bronchitis,0.0
OASIS,DeKalb,Multiracial,Average,All other Chronic Lower Respiratory Diseases,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,COVID-19,0.0
NCHS,Fulton,Multiracial,Very Low,Brain Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Colon Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Diabetes,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Disorders Related to Drug Use,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Drowning,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Emphysema,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Falls,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Fire and Smoke Exposure,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Flu,0.0
NCHS,Fulton,Multiracial,Very Low,Blood Poisoning,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,HIV/AIDS,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Hardening of the Arteries,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,High Blood Pressure (Hypertension),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Hypertensive Heart Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Cervical Cancer,0.0
NCHS,Fulton,Unknown Race,Average,Accidental Shooting,0.0
NCHS,Fulton,Unknown Race,Average,Alcoholic Liver Disease,0.0
NCHS,Fulton,Unknown Race,Average,All Other Unintentional Injury,0.0
NCHS,Fulton,Unknown Race,Average,All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,Unknown Race,Average,All other Chronic Lower Respiratory Diseases,0.0
NCHS,Fulton,Unknown Race,Average,All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,Unknown Race,Average,All other Diseases of the Nervous System,0.0
NCHS,Fulton,Unknown Race,Average,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
OASIS,DeKalb,Black or African-American,Very Low,Stomach Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Hypertensive Heart Disease,0.0
NCHS,Fulton,Unknown Race,Average,All other Mental and Behavioral Disorders,0.0
OASIS,DeKalb,Black or African-American,Very Low,Skin Cancer,0.0
OASIS,DeKalb,Black or African-American,Very Low,Uterine Cancer,0.0
NCHS,Fulton,Unknown Race,Average,Alzheimer's Disease,0.0
OASIS,DeKalb,Black or African-American,Very Low,Sickle Cell Anemia,0.0
OASIS,DeKalb,Black or African-American,Very Low,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Black or African-American,Very Low,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Unknown Race,Average,Aortic Aneurysm and Dissection,0.0
NCHS,Fulton,Unknown Race,Average,Assault (Homicide),0.0
NCHS,Fulton,Multiracial,Very Low,Hypertensive Heart and Chronic Kidney Disease,0.0
NCHS,Fulton,Unknown Race,Average,Asthma,0.0
NCHS,Fulton,Unknown Race,Average,Birth-Related Infections,0.0
NCHS,Fulton,Unknown Race,Average,Bladder Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Intentional Self-Harm (Suicide),0.0
NCHS,Fulton,Unknown Race,Average,Blood Poisoning,0.0
NCHS,Fulton,Unknown Race,Average,Brain Cancer,0.0
NCHS,Fulton,Unknown Race,Average,All other Other Diseases of Circulatory System,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Pancreatic Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Parkinson's Disease,0.0
NCHS,Fulton,Multiracial,Very Low,Disorders Related to Drug Use,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Pneumonia,0.0
NCHS,Fulton,Multiracial,Very Low,Drowning,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Poisoning,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Prematurity,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Prostate Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Rheumatic Fever and Heart Diseases,0.0
NCHS,Fulton,Multiracial,Very Low,Emphysema,0.0
NCHS,Fulton,Multiracial,Very Low,Falls,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Uterine Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Sickle Cell Anemia,0.0
NCHS,Fulton,Multiracial,Very Low,Flu,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Skin Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Stomach Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,HIV/AIDS,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Stroke,0.0
OASIS,DeKalb,Black or African-American,Very Low,Testicular Cancer,0.0
OASIS,DeKalb,Black or African-American,Very Low,Suffocation,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Suffocation,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,TB,0.0
NCHS,Fulton,Multiracial,Very Low,Hardening of the Arteries,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Testicular Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Throat Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Fire and Smoke Exposure,0.0
NCHS,Fulton,Multiracial,Very High,Prostate Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,High Blood Pressure (Hypertension),0.0
NCHS,Fulton,Multiracial,Very High,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Hypertensive Heart Disease,0.0
NCHS,Fulton,Multiracial,Very High,Rheumatic Fever and Heart Diseases,0.0
NCHS,Fulton,Multiracial,Very High,Sickle Cell Anemia,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,DeKalb,Multiracial,Average,Birth-Related Infections,0.0
NCHS,Fulton,Multiracial,Very High,Skin Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Intentional Self-Harm (Suicide),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Very High,Kidney Cancer,0.0
NCHS,Fulton,Multiracial,Very High,Stomach Cancer,0.0
NCHS,Fulton,Multiracial,Very Low,Asthma,0.0
