Geography,FIPS,Race,Cause,Age,Sex,Deaths,Source,Percent,Group
DeKalb,13089,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,556.0,NCHS,12.622020431328037,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,519.0,OASIS,12.146033231921367,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,659.0,NCHS,11.522993530337471,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,526.0,Georgia,12.091954022988507,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,638.0,OASIS,11.516245487364621,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,652.0,Georgia,11.49709046023629,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,502.0,Georgia,11.540229885057471,Georgia - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,496.0,OASIS,11.607769716826585,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,645.0,NCHS,11.278195488721805,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,499.0,NCHS,11.328036322360953,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,643.0,OASIS,11.606498194945848,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,963.0,OASIS,22.53685934940323,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,1438.0,OASIS,25.956678700361014,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,1456.0,Georgia,25.674484217950976,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,969.0,Georgia,22.27586206896552,Georgia - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,895.0,NCHS,20.317820658342793,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,1378.0,NCHS,24.095121524742087,NCHS - Fulton
