Source,Geography,Race,Education,Cause,Deaths
Georgia,DeKalb,Unknown Race,High School Diploma or GED (12),Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Meningococcal Infection,0.0
Georgia,DeKalb,Unknown Race,High School Diploma or GED (12),"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Unknown Race,High School Diploma or GED (12),Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Unknown Race,High School Diploma or GED (12),Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Tuberculosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Suffocation,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Septicemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,SIDS,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Pneumonia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Unknown Race,High School Diploma or GED (12),Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Hodgkins Disease,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Falls,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Diabetes Mellitus,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Covid-19,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Cerebrovascular Disease,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Asthma,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Anemias,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Alzheimers Disease,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,All Other Unintentional Injury,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,All COPD Except Asthma,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Assault (Homicide),0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,SIDS,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Pneumonia,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Parkinsons Disease,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Meningococcal Infection,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Infections of Kidney,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Leukemia,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Legal Intervention,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Influenza,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Leukemia,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Legal Intervention,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Influenza,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Infections of Kidney,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Hodgkins Disease,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Falls,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Covid-19,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Cerebrovascular Disease,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Asthma,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Assault (Homicide),0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Anemias,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Alzheimers Disease,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,All Other Unintentional Injury,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Diabetes Mellitus,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Unknown Race,Some College or Higher,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Tuberculosis,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Suffocation,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Septicemia,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,SIDS,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Pneumonia,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Parkinsons Disease,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Meningococcal Infection,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Unknown Race,Less than High School Education,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Alcoholic Liver Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Tuberculosis,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Suffocation,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Septicemia,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,SIDS,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Pneumonia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Diabetes Mellitus,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Meningococcal Infection,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Legal Intervention,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Influenza,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Infections of Kidney,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Hodgkins Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Falls,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Diabetes Mellitus,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Cerebrovascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Assault (Homicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Anemias,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Alzheimers Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),All Other Unintentional Injury,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Covid-19,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Septicemia,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,SIDS,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Parkinsons Disease,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Meningococcal Infection,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Leukemia,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Leukemia,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Legal Intervention,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Multiracial,Less than High School Education,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Legal Intervention,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Influenza,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Infections of Kidney,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Hodgkins Disease,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Falls,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Asthma,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Assault (Homicide),0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Suffocation,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,All Other Unintentional Injury,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,All COPD Except Asthma,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Multiracial,Less than High School Education,Tuberculosis,0.0
Georgia,DeKalb,Multiracial,Some College or Higher,Anemias,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Pneumonia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Meningococcal Infection,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Leukemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Leukemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Legal Intervention,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Influenza,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Covid-19,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Cerebrovascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Assault (Homicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Anemias,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Alzheimers Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,All Other Unintentional Injury,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,SIDS,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,All COPD Except Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Tuberculosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Suffocation,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Septicemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Some College or Higher,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Tuberculosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Suffocation,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Septicemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),SIDS,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Pneumonia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Motor Vehicle Crashes,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High School Diploma or GED (12),Meningococcal Infection,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Less than High School Education,Infections of Kidney,0.0
